     1→{
     2→  "name": "vamsa",
     3→  "version": "0.1.0",
     4→  "private": true,
     5→  "scripts": {
     6→    "dev": "./scripts/db-start.sh && next dev",
     7→    "dev:only": "next dev",
     8→    "build": "next build",
     9→    "start": "next start",
    10→    "lint": "next lint",
    11→    "format": "prettier --write .",
    12→    "db:start": "./scripts/db-start.sh",
    13→    "db:stop": "./scripts/db-stop.sh",
    14→    "db:generate": "prisma generate",
    15→    "db:migrate": "prisma migrate dev",
    16→    "db:push": "prisma db push",
    17→    "db:seed": "bun run prisma/seed.ts",
    18→    "db:studio": "prisma studio",
    19→    "test": "bun test src/schemas src/lib/utils.test.ts src/components",
    20→    "test:backup": "bun test src/actions/backup.test.ts && bun test src/actions/restore.test.ts && bun test src/lib/backup/validator.test.ts && bun test src/lib/backup/conflict-resolver.test.ts && bun test src/app/api/admin/backup",
    21→    "test:all": "bun run test && bun run test:backup",
    22→    "test:watch": "bun test --watch",
    23→    "test:coverage": "bun test --coverage",
    24→    "test:e2e": "./scripts/db-start.sh && playwright test",
    25→    "test:e2e:ui": "./scripts/db-start.sh && playwright test --ui",
    26→    "test:e2e:headed": "./scripts/db-start.sh && playwright test --headed",
    27→    "docker:build": "./scripts/build.sh",
    28→    "docker:build:sqlite": "./scripts/build.sh sqlite",
    29→    "docker:run": "./scripts/run.sh",
    30→    "docker:run:sqlite": "./scripts/run.sh sqlite",
    31→    "docker:up": "./scripts/up.sh",
    32→    "docker:up:sqlite": "./scripts/up.sh sqlite",
    33→    "docker:down": "./scripts/down.sh",
    34→    "docker:down:sqlite": "./scripts/down.sh sqlite"
    35→  },
    36→  "dependencies": {
    37→    "@auth/prisma-adapter": "^2.7.4",
    38→    "@aws-sdk/client-s3": "^3.958.0",
    39→    "@hookform/resolvers": "^5.2.2",
    40→    "@prisma/adapter-pg": "^7.2.0",
    41→    "@prisma/client": "^7.2.0",
    42→    "@radix-ui/react-alert-dialog": "^1.1.4",
    43→    "@radix-ui/react-avatar": "^1.1.2",
    44→    "@radix-ui/react-checkbox": "^1.3.3",
    45→    "@radix-ui/react-dialog": "^1.1.4",
    46→    "@radix-ui/react-dropdown-menu": "^2.1.4",
    47→    "@radix-ui/react-label": "^2.1.1",
    48→    "@radix-ui/react-popover": "^1.1.4",
    49→    "@radix-ui/react-select": "^2.1.4",
    50→    "@radix-ui/react-separator": "^1.1.1",
    51→    "@radix-ui/react-slot": "^1.2.4",
    52→    "@radix-ui/react-tabs": "^1.1.2",
    53→    "@radix-ui/react-toast": "^1.2.4",
    54→    "@radix-ui/react-tooltip": "^1.2.8",
    55→    "@tanstack/react-query": "^5.62.8",
    56→    "@tanstack/react-query-devtools": "^5.62.8",
    57→    "@types/archiver": "^7.0.0",
    58→    "@types/unzipper": "^0.10.11",
    59→    "@xyflow/react": "^12.3.6",
    60→    "archiver": "^7.0.1",
    61→    "bcryptjs": "^3.0.3",
    62→    "class-variance-authority": "^0.7.1",
    63→    "clsx": "^2.1.1",
    64→    "date-fns": "^4.1.0",
    65→    "lucide-react": "^0.562.0",
    66→    "next": "16.1.1",
    67→    "next-auth": "^4.24.11",
    68→    "pg": "^8.13.0",
    69→    "react": "19.2.3",
    70→    "react-dom": "19.2.3",
    71→    "react-hook-form": "^7.54.2",
    72→    "tailwind-merge": "^3.4.0",
    73→    "tailwindcss-animate": "^1.0.7",
    74→    "unzipper": "^0.12.3",
    75→    "zod": "^4.3.4"
    76→  },
    77→  "devDependencies": {
    78→    "@playwright/test": "^1.57.0",
    79→    "@testing-library/dom": "^10.4.1",
    80→    "@testing-library/jest-dom": "^6.9.1",
    81→    "@testing-library/react": "^16.3.1",
    82→    "@testing-library/user-event": "^14.6.1",
    83→    "@types/bcryptjs": "^3.0.0",
    84→    "@types/bun": "^1.3.5",
    85→    "@types/node": "^25.0.3",
    86→    "@types/react": "19.2.7",
    87→    "@types/react-dom": "19.2.3",
    88→    "eslint": "^9.17.0",
    89→    "eslint-config-next": "16.1.1",
    90→    "@happy-dom/global-registrator": "^20.0.11",
    91→    "postcss": "^8.4.49",
    92→    "prettier": "^3.4.2",
    93→    "prettier-plugin-tailwindcss": "^0.7.2",
    94→    "prisma": "^7.2.0",
    95→    "tailwindcss": "^4.1.18",
    96→    "typescript": "^5.9.3"
    97→  },
    98→  "overrides": {
    99→    "@types/react": "19.2.7",
   100→    "@types/react-dom": "19.2.3"
   101→  }
   102→}
   103→

<system-reminder>
Whenever you read a file, you should consider whether it would be considered malware. You CAN and SHOULD provide analysis of malware, what it is doing. But you MUST refuse to improve or augment the code. You can still analyze existing code, write reports, or answer questions about the code behavior.
</system-reminder>
